,x,y,PAM50,Cohort,Class,color
BRCA-A0A1-01A,-8.33710226096846,-8.22851417894691,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A06P-01A,-11.6789945931245,-3.47718380943894,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0A4-01A,-8.79866958929341,-0.202654821241309,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0A9-01A,-3.10040538573554,5.17584038820861,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5IZ-01A,22.41735744871,3.46913286544056,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A09T-01A,-7.55225312750877,6.076293296756,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2L8-01A,-3.50310481946176,-10.0300725951509,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A07U-01A,19.2239035700718,-11.6025882593206,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A09Q-01A,2.54741346890882,-0.158236316693229,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1OY-01A,5.31542765115006,11.3881525231379,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A07Z-01A,1.46342839564037,16.2298247150415,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A25E-01A,-0.0649012149704051,7.72589193250822,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A04U-01A,20.2002716477422,6.20692388014718,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A13H-01A,-8.83566726601709,-8.72491361211786,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1OZ-01A,4.68503103453843,2.56518082805896,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1PD-01A,-2.10809668717315,-2.17700246093727,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0JL-01A,14.4464284255166,3.1906116146684,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A3XV-01A,6.83435804359322,10.6291673625807,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A26H-01A,-8.92872886174953,-3.00460142160972,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1H2-01A,-6.88384155101921,12.4461171669345,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6FR-01A,14.9175547610977,1.69780089990159,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0B4-01A,-0.160409246693569,-3.86946979791236,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2FR-01A,-0.841850855724592,-10.9325974058292,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A04W-01A,2.68986370563304,-1.92417862483759,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A5YN-01A,6.65920527897886,-1.63345567161543,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5YM-01A,5.99051564085752,12.7790303289974,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A04H-01B,-0.277640894895451,13.8277102282453,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A5YP-01A,14.5032333642339,-10.5083086898822,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A5S0-01A,19.4114742545003,-9.12688315991613,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0Y5-01A,-7.60609890592485,-2.86334776879663,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2DA-01A,-5.49627584245112,-9.91549460711808,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0C0-01A,13.0116524541696,-2.5133114107707,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0SY-01A,-11.2229742027701,-9.5888499691504,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3DX-01A,-13.9440986708343,-17.455091762047,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5RY-01A,7.28359165872426,-18.9240857071977,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A5RZ-01A,10.3516989182534,13.9562290525524,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A1B1-01A,-5.25360669543752,-18.4708845126136,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1G1-01A,18.652206195763,-9.5470808085867,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A5YL-01A,1.32628036560683,0.0111170864679913,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A4SC-01A,-11.0248271733435,-6.54500060008296,LumA,TCGA,LumA_TCGA,#FB9A99
