"","myAUC","avg_diff","power","avg_logFC","pct.1","pct.2","cluster","gene"
"ENSMFAG00000036653",0.974,3.61947008576776,0.948,3.61947008576776,0.952,0.015,"OO","ENSMFAG00000036653"
"B3GAT2",0.974,3.5787249079114,0.948,3.5787249079114,0.955,0.008,"OO","B3GAT2"
"CDCA8",0.974,3.20697417736162,0.948,3.20697417736162,0.955,0.023,"OO","CDCA8"
"ENSMFAG00000001387",0.974,3.09823724772951,0.948,3.09823724772951,0.967,0.043,"OO","ENSMFAG00000001387"
"LYPD1",0.974,2.93119938258649,0.948,2.93119938258649,0.964,0.031,"OO","LYPD1"
"BUB1",0.974,2.91874604273005,0.948,2.91874604273005,0.957,0.022,"OO","BUB1"
"NUF2",0.974,2.73052636224975,0.948,2.73052636224975,0.967,0.043,"OO","NUF2"
"GKAP1",0.974,2.26863083442459,0.948,2.26863083442459,0.978,0.072,"OO","GKAP1"
"ZNF93",0.974,2.25246653594023,0.948,2.25246653594023,0.978,0.066,"OO","ZNF93"
"C1QTNF6",0.974,2.16771365138763,0.948,2.16771365138763,0.978,0.127,"OO","C1QTNF6"
"OFD1",0.974,2.13332240488892,0.948,2.13332240488892,0.995,0.239,"OO","OFD1"
"PARVG",0.973,2.93723578388756,0.946,2.93723578388756,0.962,0.067,"OO","PARVG"
"TMEM255B",0.973,2.72655842162143,0.946,2.72655842162143,0.983,0.107,"OO","TMEM255B"
"VLDLR",0.973,2.64223184254009,0.946,2.64223184254009,0.983,0.08,"OO","VLDLR"
"ENSMFAG00000000540",0.973,2.42970155309091,0.946,2.42970155309091,0.993,0.161,"OO","ENSMFAG00000000540"
"ARHGEF33",0.973,2.40161641372376,0.946,2.40161641372376,0.959,0.035,"OO","ARHGEF33"
"Tmem97",0.973,2.25375654138584,0.946,2.25375654138584,0.988,0.22,"OO","Tmem97"
"TEX30",0.973,2.09951874954421,0.946,2.09951874954421,0.99,0.253,"OO","TEX30"
"NUSAP1",0.973,1.85073321851298,0.946,1.85073321851298,0.969,0.042,"OO","NUSAP1"
"KIF4A",0.973,1.60494380548198,0.946,1.60494380548198,0.955,0.027,"OO","KIF4A"
"CHEK1",0.973,1.57550609377098,0.946,1.57550609377098,0.986,0.095,"OO","CHEK1"
"ENSMFAG00000043172",0.972,4.84213845772783,0.944,4.84213845772783,0.947,0.007,"OO","ENSMFAG00000043172"
"CCNO",0.972,3.61367301413351,0.944,3.61367301413351,0.952,0.035,"OO","CCNO"
"UBE2T",0.972,3.55558230151329,0.944,3.55558230151329,0.952,0.024,"OO","UBE2T"
"TEX12",0.972,3.30455007062145,0.944,3.30455007062145,0.945,0.005,"OO","TEX12"
"MT1X",0.972,3.27497968788122,0.944,3.27497968788122,0.995,0.284,"OO","MT1X"
"ENSMFAG00000000169",0.972,3.15214429783032,0.944,3.15214429783032,0.957,0.021,"OO","ENSMFAG00000000169"
"FHIT",0.972,3.05789072398299,0.944,3.05789072398299,0.967,0.036,"OO","FHIT"
"ORC6",0.972,3.05066807754501,0.944,3.05066807754501,0.971,0.078,"OO","ORC6"
"KIF23",0.972,2.88322784392468,0.944,2.88322784392468,0.962,0.043,"OO","KIF23"
"MAD2L1",0.972,2.54495617304164,0.944,2.54495617304164,0.983,0.112,"OO","MAD2L1"
"ENSMFAG00000003384",0.972,2.53450789568628,0.944,2.53450789568628,0.964,0.03,"OO","ENSMFAG00000003384"
"RABIF",0.972,2.49367507877086,0.944,2.49367507877086,0.974,0.06,"OO","RABIF"
"TTC1",0.972,2.19696644467731,0.944,2.19696644467731,1,0.323,"OO","TTC1"
"CRYZ",0.972,1.97515412990095,0.944,1.97515412990095,0.986,0.131,"OO","CRYZ"
"UCHL3",0.972,1.92007976976975,0.944,1.92007976976975,0.995,0.287,"OO","UCHL3"
"ZMYND19",0.972,1.7050877544392,0.944,1.7050877544392,0.957,0.038,"OO","ZMYND19"
"CCDC73",0.971,4.30459494014849,0.942,4.30459494014849,0.945,0.008,"OO","CCDC73"
"MS4A4A",0.971,3.5451732669927,0.942,3.5451732669927,0.945,0.005,"OO","MS4A4A"
"NAA30",0.971,3.404873396055,0.942,3.404873396055,0.969,0.08,"OO","NAA30"
"DEPDC7",0.971,3.34103205836361,0.942,3.34103205836361,0.947,0.016,"OO","DEPDC7"
"SLBP",0.971,2.91179237049006,0.942,2.91179237049006,0.99,0.193,"OO","SLBP"
"ERICH2",0.971,2.82583122452173,0.942,2.82583122452173,0.955,0.032,"OO","ERICH2"
"INPP4B",0.971,2.61179323175846,0.942,2.61179323175846,0.976,0.048,"OO","INPP4B"
"DCLK2",0.971,2.4457504976937,0.942,2.4457504976937,0.981,0.112,"OO","DCLK2"
"WDR53",0.971,2.2125641866645,0.942,2.2125641866645,0.957,0.024,"OO","WDR53"
"ENSMFAG00000042918",0.971,2.16613063314059,0.942,2.16613063314059,0.998,0.454,"OO","ENSMFAG00000042918"
"NHLRC3",0.971,1.80358106809968,0.942,1.80358106809968,0.974,0.09,"OO","NHLRC3"
"BORCS5",0.971,1.26914609904296,0.942,1.26914609904296,0.976,0.11,"OO","BORCS5"
"RASGRF2",0.97,3.01006821814722,0.94,3.01006821814722,0.955,0.031,"OO","RASGRF2"
"ORC5",0.97,2.2633168962646,0.94,2.2633168962646,0.969,0.081,"OO","ORC5"
"CRADD",0.97,2.22953334026405,0.94,2.22953334026405,0.969,0.063,"OO","CRADD"
"MAPK6",0.97,2.13945539937709,0.94,2.13945539937709,0.988,0.124,"OO","MAPK6"
